jax devices: [CudaDevice(id=0)]
E0725 06:34:10.587689  846609 ptx_compiler_helpers.cc:154] *** WARNING *** Invoking ptxas with version 12.6.77, which corresponds to a CUDA version <=12.6.2. CUDA versions 12.x.y up to and including 12.6.2 miscompile certain edge cases around clamping.
Please upgrade to CUDA 12.6.3 or newer.
[06:34:48] sandbox A @500: val e2e [32s]
[06:34:56] sandbox A @1000: val e2e [8s]
[06:35:05] sandbox A @1500: val e2e [8s]
[06:35:13] sandbox A @2000: val e2e [9s]
[06:35:22] sandbox A @2500: val e2e [8s]
[06:35:30] sandbox A @3000: val e2e [8s]
[06:35:38] sandbox A @3500: val e2e [8s]
[06:35:47] sandbox A @4000: val e2e [8s]
[06:35:55] sandbox A @4500: val e2e [8s]
[06:36:04] sandbox A @5000: val e2e [8s]
[06:36:12] sandbox A @5500: val e2e [9s]
[06:36:21] sandbox A @6000: val e2e [8s]
[06:36:29] sandbox A @6500: val e2e [9s]
[06:36:38] sandbox A @7000: val e2e [8s]
[06:36:55] equivalence gate: corrected(0)==reference exactly (0.0)
[06:36:55] sandbox A @7500: val e2e [17s]
[06:37:03] sandbox A @8000: val e2e [9s]
[06:37:12] sandbox A @8500: val e2e [8s]
[06:37:20] sandbox A @9000: val e2e [8s]
[06:37:29] sandbox A @9500: val e2e [9s]
[06:37:37] sandbox A @10000: val e2e [8s]
[06:37:45] sandbox A @10500: val e2e [9s]
[06:37:54] sandbox A @11000: val e2e [8s]
[06:38:02] sandbox A @11500: val e2e [8s]
[06:38:11] sandbox A @12000: val e2e [8s]
[06:38:19] sandbox A @12500: val e2e [9s]
[06:38:28] sandbox A @13000: val e2e [8s]
[06:38:36] sandbox A @13500: val e2e [8s]
[06:38:45] sandbox A @14000: val e2e [9s]
[06:38:53] sandbox A @14500: val e2e [8s]
[06:39:02] sandbox A @15000: val e2e [8s]
[06:39:10] sandbox A @15500: val e2e [8s]
[06:39:19] sandbox A @16000: val e2e [9s]
[06:39:27] sandbox A @16500: val e2e [8s]
[06:39:35] sandbox A @17000: val e2e [8s]
[06:39:44] sandbox A @17500: val e2e [8s]
[06:39:53] sandbox A @18000: val e2e [9s]
[06:40:01] sandbox A @18500: val e2e [8s]
[06:40:09] sandbox A @19000: val e2e [8s]
[06:40:18] sandbox A @19500: val e2e [8s]
[06:40:27] sandbox A @20000: val e2e [9s]
[06:40:40] sandbox B @2500: val e2e [14s]
[06:40:51] sandbox B @5000: val e2e [10s]
[06:41:01] sandbox B @7500: val e2e [10s]
[06:41:12] sandbox B @10000: val e2e [11s]
[06:41:23] sandbox B @12500: val e2e [10s]
[06:41:33] sandbox B @15000: val e2e [10s]
[06:41:44] sandbox B @17500: val e2e [10s]
[06:41:55] sandbox B @20000: val e2e [11s]
[06:42:01] sandbox A hc channel means @ 7500 done
[06:42:09] sandbox B hc channel means @ 2500 done
[06:42:20] gowerstreet A @16000: val e2e done
[06:42:20] SAMPLE phase 1 done -> fj_val_gen.npz + fj_val_hc.json
